Question Text,Option A,Option B,Option C,Option D,Correct Answer (1/2/3/4),Explanation
Which scheme controls the interaction between executing transaction ?,Concurrency control scheme,Multiprogramming scheme,Serialization scheme,Schedule scheme,1,Option 'Concurrency control scheme' is the correct answer according to the COPA curriculum standards.
Which is the logical design of the database?,Instance,Relation,Domain,Schema,4,A schema is the logical structure or design of a database system.
Which unit is considered if the domain of the element is atomic?,Different units,Indivisible units,Constant units,Divisible units,2,Option 'Indivisible units' is the correct answer according to the COPA curriculum standards.
What is the order for the tupples of the relations?,Any,Same,Sorted,Constant,1,Option 'Any' is the correct answer according to the COPA curriculum standards.
"What does the term ""attribute"" refers to in a table?",Record,Column,Tuple,Key,2,Option 'Column' is the correct answer according to the COPA curriculum standards.
What is the error in the below statement ?,Return type missing,Dept_name is mismatched,Reference relation is not mentioned,Error in the formation of the function name,1,Option 'Return type missing' is the correct answer according to the COPA curriculum standards.
Which has the highest precedence in the expression?,Division,Subtraction,Power,Parentheses,4,The plural subject 'They' requires the plural verb 'are'.
Which is the correct operator for power(ab)?,a ^ b,a ** b,a ^ ^ b,a ^ * b,2,Option 'a ** b' is the correct answer according to the COPA curriculum standards.
Which is a valid Python if statement?,if a > = 2 :,if (a > = 2),if (a = > 22),if a > = 22,1,Option 'if a > = 2 :' is the correct answer according to the COPA curriculum standards.
Which is used as loop in Python?,for loop,if else,do-while loop,loop,1,Option 'for loop' is the correct answer according to the COPA curriculum standards.
Which function accepts input from the user?,raw_input( ),rawinput( ),input( ),string( ),3,Option 'input( )' is the correct answer according to the COPA curriculum standards.
Which one of the following is a good office etiquette?,One should dress formally,One should not be punctual to work,One should have fancy mobile ring tone,One should litter one’s work place,1,The 'rm' command is used to remove or delete files in a Linux environment.
Word that is pronounced the same as another word but differs in meaning is called __________,homophone,homograph,diphthong,syllable,1,Homophones are words that sound the same but have different meanings and spellings.
_______ can help me learn English.,dedication,fear,anger,shyness,1,Dedication and consistent practice are key to learning a new language like English.
Which punctuation mark should be used in the following sentence?,? (question mark),", (comma)",. (full stop),! (exclamation),1,Option '? (question mark)' is the correct answer according to the COPA curriculum standards.
When is capital letter used?,Beginning of a sentence,Names of persons,Names of places,All the above,4,Option 'All the above' is the correct answer according to the COPA curriculum standards.
Which one of the following is a describing word?,eat,repair,hot,soup,3,Option 'hot' is the correct answer according to the COPA curriculum standards.
When someone says 'Thank you' we should reply and say ______.,Thank you.,You're welcome.,Bye-bye,How are you?,2,re welcome.'. re welcome.'.
Choose the odd word.,please,sorry,paper,thanks,3,Option 'paper' is the correct answer according to the COPA curriculum standards.
I am a welder. I work with ______,nail polish,robots,welding tools,laptops,3,Option 'welding tools' is the correct answer according to the COPA curriculum standards.
Today's weather is going to be ____________.,Hopeful,Warm,Blue,Urgent,2,The 'rm' command is used to remove or delete files in a Linux environment.
The word 'when' denotes __________,place,thing,person,time,4,Option 'time' is the correct answer according to the COPA curriculum standards.
Rahul enjoys ____________ with his pet dog.,playing,writing,doing,washing,1,Option 'playing' is the correct answer according to the COPA curriculum standards.
"Having a clear idea of our personality including strengths, weaknesses, thoughts, beliefs, motivation, values etc is called",Belief,Self Awareness,Myth,Threat,2,The plural subject 'They' requires the plural verb 'are'.
___________ are the abilities and qualities you have as a person that helps you grow well in life and career.,Personal Strengths,Personal weaknesses,Opportunities,Threats,1,Option 'Personal Strengths' is the correct answer according to the COPA curriculum standards.
"__________ are the qualities that are considered negative, and need to be worked on.",Personal Strengths,Personal weaknesses,Opportunities,Threats,2,Option 'Personal weaknesses' is the correct answer according to the COPA curriculum standards.
Which of the following is an example of personal weakness?,Confidence,Being lazy,Hard working,Active,2,Option 'Being lazy' is the correct answer according to the COPA curriculum standards.
Goals are of 2 types ______,Good and bad goals,Long-term and short-term goals,Rich and poor goals,Fixed-term and non-fixed term goals,2,The 'rm' command is used to remove or delete files in a Linux environment.
What is stress?,Feeling of joy,Feeling of surprise,Feeling of delight,Feeling of frustration / disappointment,4,"In Python, whole numbers like 255 (0xFF in hex) are classified as the 'int' data type."
Which of these is a sign of good stress?,It prevents you from pursuing your goals.,It makes you doubt yourself.,"Does not lead to long-term tension, loss of sleep.",Makes you physically ill or causes pain.,3,The 'rm' command is used to remove or delete files in a Linux environment.
An activity that stops or reduces stress is called a stress buster. Which of the following according to you is not a stress buster?,Spending long hours thinking about the problem.,Going to bed on time.,Listening to music.,Gardening,1,Option 'Spending long hours thinking about the problem.' is the correct answer according to the COPA curriculum standards.
What is mindfulness?,It is the technique of not minding anything.,It is about sharpening your brain.,It is the ability to be fully present in a moment.,It is the word used to describe people who are full of thoughts.,3,Option 'It is the ability to be fully present in a moment.' is the correct answer according to the COPA curriculum standards.
Which of the following is true about stress?,Stress can be managed,Stress cannot be controlled,Stress can not be decreased,All of the above,1,Option 'Stress can be managed' is the correct answer according to the COPA curriculum standards.
Which of the following statements is true?,Only experts can solve any problem,"The more problems you solve, the better you will get at problem solving!",We need to pursue a course to even solve a simple problem,It is not important to solve any problem,2,"Option 'The more problems you solve, the better you will get at problem solving!' is the correct answer according to the COPA curriculum standards."
Which of these should be considered while making decisions?,Your mood,The choices of your friends,The rules of your community,Your personal priorities.,4,Option 'Your personal priorities.' is the correct answer according to the COPA curriculum standards.
Which of these is the full form of SWOT?,Special Wellness Organization Theme,Speak Work Openly Together,Strong World Olympic Team,Strength Weakness Opportunity Threat,4,Option 'Strength Weakness Opportunity Threat' is the correct answer according to the COPA curriculum standards.
